keywords,summary,text,title,url
"['33', 'group', '23', 'covid19', 'age', 'cases', 'rate', 'average', 'patients', 'recovered', 'recovery', 'infected', 'national', 'department', 'rajasthans', 'health', 'higher']","indiaUpdated: Apr 28, 2020 17:27 ISTRajasthan’s recovery rate of 33% for Covid-19 patients is higher than the national average of 23%, the state’s health department said Tuesday.
The recovery rate has been boosted partly by the fact that 66% of those infected are in a younger age group, he said.
This has helped push up Rajasthan’s recovery rate.
The infection among the 40-50 years age group is 13.59% and 11.33% in the 50-60 years age group.
Three districts – Karauli, Pali and Udaipur share a recovery rate of 66.6%.","india

Updated: Apr 28, 2020 17:27 IST

Rajasthan’s recovery rate of 33% for Covid-19 patients is higher than the national average of 23%, the state’s health department said Tuesday.

The recovery rate has been boosted partly by the fact that 66% of those infected are in a younger age group, he said.

According to the World Health Organisation (WHO), elderly people above 60 years of age face the highest risk from the coronavirus.

Follow coronavirus latest updates here.

The Rajasthan health department’s data shows that 66.67% of the population in the 20 to 60 years age group, which has better immunity, has been infected. The percentage of the population infected in the 60-80 years age group is only 10.5.

This has helped push up Rajasthan’s recovery rate. The state has recorded 2,335 positive cases so far and. Of these, 768 or 32.8% have recovered while 584 people have been discharged from hospitals after treatment, the health department said in the afternoon.

Only those who test negative twice in line with Covid-19 treatment protocol are discharged.

“We have made very good progress as far as recovery of positive patients is concerned. Of the 2328 cases, 766 or one-third have recovered and 584 have been discharged,” Rajasthan Health Minister Raghu Sharma had said hours before the health department released its data.

Dr DS Meena, medical superintendent of Jaipur’s SMS Hospital, said the reason for the recovery rate is that a higher proportion of the younger population in Rajasthan has been infected with the coronavirus. The younger population has been more affected more because they tend to move out more than the elderly.

“It is fortunate for us that the virus has infected a larger proportion of the younger age group who have better immunity and health and can fight off the disease more successfully than elderly patients,” he said.

Data from the health department shows that 41.75% of those infected are in the age group 20 to 40 years. The infection among the 40-50 years age group is 13.59% and 11.33% in the 50-60 years age group.

Coronavirus has so far affected 28 of 33 districts in the state. Pratapgarh which had recorded two cases of Covid-19 has shown a 100% recovery rate.

Bikaner has a recovery rate of 97.2% with 36 of 37 patients having recovered while one died. In Jhunjhunu, 40 of 42 patients have recovered (95.2%) while in Churu, 13 of 14 patients have recovered (92.8%).

In Bhilwara, which was once a Covid-19 hotspot, 30 of the 35 patients have recovered (85.7%). Jaisalmer has the same figures as Bhilwara.

Dungarpur where five of six patients have recovered has a recovery rate of 83.3% while Alwar with five of seven cases recovering has a rate of 71.4%. Three districts – Karauli, Pali and Udaipur share a recovery rate of 66.6%.

In Udaipur, four of six patients have recovered while in Karauli and Pali, two of three patients each have recovered.

In the state capital Jaipur, 273 of the 856 cases have recovered (31.8%). In an encouraging development, 192 people who tested negative twice for the Sars-Cov 2 virus were discharged from the SMS hospital on Monday, the health department said.","Covid-19: At 33%, Rajasthan’s recovery rate higher than national average of 23%",https://www.hindustantimes.com/india-news/covid-19-at-33-rajasthan-s-recovery-rate-higher-than-national-average-of-23/story-hamBYhRto5FTabjT2rAN2J.html
"['delhi', 'doctors', '33', 'coronavirus', 'states', 'care', 'worrying', 'affected', 'vardhan', 'harsh', 'volunteers', 'containment', 'workers', 'health', 'situation']","indiaUpdated: Apr 28, 2020 17:22 ISTOver four per cent of health workers in Delhi including 33 doctors have become affected due to coronavirus said Union health minister Dr Harsh Vardhan and added that this situation as “worrying”.
“13 paramedics, 26 nurses, 24 field workers, 33 doctors are COVID19 affected.
This is worrying,” Harsh Vardhan is reported to have said.
The health ministry had recently written to all states asking them to take utmost care of their health care professionals while listing out measures taken for their safety.
It recommended that states used Hydroxychloroquine for prophylaxis of Sars-Cov-2 infection for high risk population including all asymptomatic health care workers who were involved in the care of suspected or confirmed Covid-19 cases.","india

Updated: Apr 28, 2020 17:22 IST

Over four per cent of health workers in Delhi including 33 doctors have become affected due to coronavirus said Union health minister Dr Harsh Vardhan and added that this situation as “worrying”.

Harsh Vardhan’s comments reported by a news agency were made on Tuesday when the minister held a review meeting via video conference with top officials of the state, including the lieutenant governor (LG), health minister, Municipal Corporation of Delhi (MCD) commissioners and DCPs of all districts of the national capital along with surveillance officers and heads of government hospitals.

“13 paramedics, 26 nurses, 24 field workers, 33 doctors are COVID19 affected. This is worrying,” Harsh Vardhan is reported to have said.

A dashboard of medical care professionals and volunteers deployed across the country prepared by the health ministry as part of the containment efforts says Delhi has nearly 18,000 MBBS doctors involved in fighting coronavirus, 2530 MBBS students, 43,865 Nurses, 12,011 Dentists, 11,213 Ayush workers, 350 lab volunteers, 5809 ex-Servicemen, 10,628 NYKS volunteers, 4478 trained health professionals among other categories of manpower.

The health ministry had recently written to all states asking them to take utmost care of their health care professionals while listing out measures taken for their safety.

It recommended that states used Hydroxychloroquine for prophylaxis of Sars-Cov-2 infection for high risk population including all asymptomatic health care workers who were involved in the care of suspected or confirmed Covid-19 cases. It also states that nearly 5.11 lakh additional PPEs (Personal Protection Equipment) had been supplied by the Centre to the states to augment the existing stock of 2.75 lakhs of PPE available with the states.

Delhi has 4039 cases of coronavirus as per the latest figures released by the ministry of health and nearly 100 containment zones—areas with positive cases that present a threat of further transmissions. Dr Harsh Vardhan said that this number should come down before adding that the existing periphery of the containment zones could be increased to fight the disease better.

The HT Guide to Coronavirus COVID-19

“According to experts, we need to increase the periphery of sealed areas in Delhi to fight Covid-19 better,” Dr Harsh Vardhan said while talking about the containment efforts in Delhi.

For Coronavirus Live Updates","33 doctors in over 4% Delhi health workers affected by coronavirus, situation ‘worrying’",https://www.hindustantimes.com/india-news/33-doctors-in-over-4-delhi-health-workers-affected-by-coronavirus-situation-worrying/story-LlunK3JYS8W09xbJZQiEZK.html
"['distribute', '30000', 'pregnant', 'uttarakhand', 'wcd', 'women', 'care', 'babies', 'warm', 'department', 'initiative', 'special', 'lockdown', 'kits']","indiaUpdated: Apr 28, 2020 17:18 ISTThe Uttarakhand Women and Child development (WCD) department in an effort to take better care of pregnant women will soon distribute special kits comprising items ranging from sanitary pads for mothers to warm clothes for babies, officials said.
The WCD department has already worked out the plan and will initiate it once the lockdown ends in the state, according to officials.
Rekha Arya, minister of WCD department Uttarakhand said, “The initiative would largely help the government to take better care of pregnant women.
“The kit which costs about Rs 900 each will have eight or nine essential items meant for the care of pregnant women and their babies.
“As soon as the lockdown ends, our department will deliver the kits to women at their homes which have already been identified under the initiative,” Arya said.","india

Updated: Apr 28, 2020 17:18 IST

The Uttarakhand Women and Child development (WCD) department in an effort to take better care of pregnant women will soon distribute special kits comprising items ranging from sanitary pads for mothers to warm clothes for babies, officials said.

The WCD department has already worked out the plan and will initiate it once the lockdown ends in the state, according to officials.

Rekha Arya, minister of WCD department Uttarakhand said, “The initiative would largely help the government to take better care of pregnant women. We have already identified about 30,000-40,000 pregnant women in the state who will be given the kit made by the department.”

Arya said the funds for the initiative have already been passed in this year’s budget.

“The kit which costs about Rs 900 each will have eight or nine essential items meant for the care of pregnant women and their babies. It will have sanitary pads for women, baby lotion, warm clothes for babies, baby shampoo, soaps, blanket, and a disinfectant,” she said.

The minister said the department would have distributed the kits in April only but “the lockdown got it delayed”.

“As soon as the lockdown ends, our department will deliver the kits to women at their homes which have already been identified under the initiative,” Arya said.","Uttarakhand to distribute special kits to care for over 30,000 pregnant women",https://www.hindustantimes.com/india-news/uttarakhand-to-distribute-special-kits-to-care-for-over-30-000-pregnant-women/story-XgsguHcG9t1t9LJ4EHG69M.html
"['updates', 'covid19', 'dangerous', 'read', 'centre', '2020', 'plan', 'therapy', 'times', 'treatment', 'latest', 'plasma', 'hindustan', 'vaccines', 'olympics', 'minister', 'kim', 'videos']","News updates from Hindustan Times: Plasma therapy not approved treatment for Covid-19, can be dangerous, says Centre and all the latest newsindiaUpdated: Apr 28, 2020 17:12 ISTHere are today’s top news, analysis and opinion at this hour.
Know all about the latest news and other news updates from Hindustan Times.
The videos of the “unidentified aerial phenomena” capture the rapid movements of what appear to be unidentified flying objects (UFOs).
‘Difficult to hold 2020 Tokyo Olympics without vaccines’: Japan medical chiefHead of Japan’s medical association said holding 2020 Olympics without vaccines would be difficult.
He said, “In my view, it would be difficult to hold the Olympics unless effective vaccines are developed.","News updates from Hindustan Times: Plasma therapy not approved treatment for Covid-19, can be dangerous, says Centre and all the latest news

india

Updated: Apr 28, 2020 17:12 IST

Here are today’s top news, analysis and opinion at this hour. Know all about the latest news and other news updates from Hindustan Times.

Plasma therapy not approved treatment for Covid-19, can be dangerous, says Centre

The Union health ministry on Tuesday advised against considering the plasma therapy to be a regular treatment for coronavirus and added that it should only be used for research and trial purposes till the time there’s robust scientific evidence to support its efficacy. Read more.

In PM Modi’s plan to evacuate Indians, blue-collar workers have the first right

As the foreign and civil aviation ministries start work on a plan to fly back tens of thousands of Indians stuck abroad, Prime Minister Narendra Modi has spelt out the ground rule for the evacuation plan. India’s blue collar workers stranded abroad will get the first seats in the special flights that will be run by the government to get them home. Read more.

Covid-19 lockdown: Pollution in Ganga declines as factories in UP, Uttarakhand remain shut

Authorities in Uttar Pradesh and Uttarakhand have said the quality of water in the Ganga has improved during the nationwide Covid-19 lockdown, with samples collected by a research facility in Varanasi recording a nearly 30% decrease in pollution levels. Read more.

Where is North Korea’s Kim Jong Un? Here’s what is possible

The Day of the Sun -- the April 15 holiday celebrating Kim Jong Un’s late grandfather, Kim Il Sung -- has long been the most important date on North Korea’s political calendar. This year, the supreme leader failed to show. Read more.

Can assume Dhoni might not play for India again: Aakash Chopra

Former India opener and now a successful commentator Aakash Chopra doesn’t believe MS Dhoni’s comeback to the Indian side was depended on IPL 2020. Defying the thought process of a host of former cricketers and reports, Chopra said India’s two-time World Cup-winning captain’s fate cannot be judged on the basis of one IPL.Read more.

All aboard the virtual express: Throwback pictures and travel series fill up the void amid lockdown

The trains might stop, flying not an option anymore and roads barricaded. However, you can’t take the love of travel away from someone who’s wanderlust surpasses any other desire. Read more.

Pentagon officially releases 3 ‘UFO’ videos, alien-related posts take over Twitter. They’re hilarious

On Monday, the Pentagon released three declassified videos which have now created a stir online. The videos of the “unidentified aerial phenomena” capture the rapid movements of what appear to be unidentified flying objects (UFOs). Read more.

HRD Minister urges students to explore UGC MOOCs for various UG and PG courses

Union HRD Minister Dr. Ramesh Pokhriyal on Tuesday invited students to explore UG and PG courses offered on UGC MOOCs, a vertical of SWAYAM, or the Study Webs of Active Learning for Young Aspiring Minds. Read more.

‘Difficult to hold 2020 Tokyo Olympics without vaccines’: Japan medical chief

Head of Japan’s medical association said holding 2020 Olympics without vaccines would be difficult. Yoshitake Yokokura said games are possible only if infections are under control globally. He said, “In my view, it would be difficult to hold the Olympics unless effective vaccines are developed. I’m not saying it should not be held, but my prediction is that it will be difficult (to hold the 2020 Summer Olympics unless effective vaccines are developed).” Watch here.","News updates from Hindustan Times: Plasma therapy not approved treatment for Covid-19, can be dangerous, says Centre and all the latest news",https://www.hindustantimes.com/india-news/news-updates-from-hindustan-times-plasma-therapy-not-approved-treatment-for-covid-19-can-be-dangerous-says-centre-and-all-the-latest-news/story-XjEOJkXbhTgBFZkVaf35uI.html
"['approved', 'covid19', 'coronavirus', 'dangerous', 'centre', 'patients', 'therapy', 'research', 'treatment', 'reported', 'plasma', 'study', 'trial', 'used', 'health']","The government added further that plasma therapy could lead to life-threatening complications if not administered properly.
“There is no approved therapy for Covid-19 in the country including Plasma therapy.
Plasma therapy is being experimented with and there is no evidence to support it as a treatment.
The Plasma therapy has been used selectively so far, mostly in severe cases where patients were on ventilator support.
The HT Guide to Coronavirus COVID-19Use of plasma therapy involves injecting blood-component plasma extracted from a cured coronavirus patient into a positive case.","india

Updated: Apr 28, 2020 17:24 IST

The Union health ministry on Tuesday advised against considering the plasma therapy to be a regular treatment for coronavirus and added that it should only be used for research and trial purposes till the time there’s robust scientific evidence to support its efficacy.

The government added further that plasma therapy could lead to life-threatening complications if not administered properly.

“There is no approved therapy for Covid-19 in the country including Plasma therapy. Plasma therapy is being experimented with and there is no evidence to support it as a treatment. It is only at an experimental stage. If not used properly, it can create life-threatening complications,” said Lav Agarwal, joint secretary health ministry.

The health ministry official said that the country’s top medical research body was conducting a study to find out the efficacy of plasma therapy and till then, doctors are advised to use it only for trial purposes.

“Plasma therapy is only to be used for research and trial purposes until an ICMR study on its efficacy is completed. ICMR is conducting a nation-wide research to study the efficacy of Plasma therapy,” he added.

Government’s word of caution on plasma therapy comes at a time when several instances of it helping in virus-infected patients’ recovery have been reported. The Plasma therapy has been used selectively so far, mostly in severe cases where patients were on ventilator support.

The HT Guide to Coronavirus COVID-19

Use of plasma therapy involves injecting blood-component plasma extracted from a cured coronavirus patient into a positive case. The plasma of a cured patient is considered to carry virus-fighting antibodies which boost the immune system’s response to the disease. Plasma is the almost-clear liquid left behind after red and white blood cells and platelets are removed from the blood.

Convalescent plasma therapy uses a blood component called plasma, which contains the virus-fighting antibodies, from people who have recovered from the infection to treat those who are severely ill with Covid-19

Several Covid-19 fighting medical care centres in India are reported to have started banking plasma from coronavirus recovered patients after its use was said to have shown positive results.

A few days ago, Delhi health minister Satyendra Jain had reported that six critical coronavirus patients had “nearly recovered” after administration of the plasma therapy. On April 26, it was reported that Mumbai’s Lilavati hospital, too, had identified Maharashtra’s first patient to be given the therapy.



For Coronavirus Live Updates

One of Delhi’s designated coronavirus hospital, Lok Nayak hospital is already using the plasma therapy and the All India Institute of Medical Sciences (AIIMS) is reported is to getting ready to start it for those with severe Covid-19 infections.","Plasma therapy not approved treatment for Covid-19, can be dangerous, says Centre",https://www.hindustantimes.com/india-news/plasma-therapy-not-approved-treatment-for-covid-19-can-be-dangerous-says-centre/story-vTeSdM43Q7ND3lUiThCAZK.html
"['defence', 'ventilators', 'saidthe', 'operations', 'ramp', 'singh', 'asks', 'dpsus', 'production', 'ofb', 'statement', 'plans', 'rajnath', 'postlockdown', 'ministry']","Singh said such plans were necessary to ramp up production and compensate for the time lost due to the Covid-19 outbreak.
Singh spoke to top officials of the OFB and DPSUs, via video conference, and reviewed operational plans as well as their contribution to the fight against the pandemic.
Several units of the OFB and DPSUs located in non-red zones have already kicked off operations and drawn up plans for post-lockdown operations, the ministry statement said.
Defence ministry officials said the units of the OFB and DPSUs plan to work in three shifts six days a week (against the usual five) to speed up production.
The defence ministry statement said that Singh referred to Prime Minister Narendra Modi’s plans to revive the economy post-lockdown and said that the DPSUs along with the private defence industry could play a major role in the revival.","india

Updated: Apr 28, 2020 17:10 IST

Defence minister Rajnath Singh on Tuesday asked the Ordnance Factory Board (OFB) and defence public sector undertakings (DPSUs) to draw up contingency plans for resuming operations after the lockdown to combat the coronavirus disease is lifted, the ministry said in a statement.

Singh said such plans were necessary to ramp up production and compensate for the time lost due to the Covid-19 outbreak. Singh spoke to top officials of the OFB and DPSUs, via video conference, and reviewed operational plans as well as their contribution to the fight against the pandemic.

Several units of the OFB and DPSUs located in non-red zones have already kicked off operations and drawn up plans for post-lockdown operations, the ministry statement said. Defence ministry officials said the units of the OFB and DPSUs plan to work in three shifts six days a week (against the usual five) to speed up production. Work will be carried out by observing social distancing and other relevant health guidelines, the officials said.

The defence ministry statement said that Singh referred to Prime Minister Narendra Modi’s plans to revive the economy post-lockdown and said that the DPSUs along with the private defence industry could play a major role in the revival.

Singh praised the efforts of DPSUs in coming out with new products to fight Covid-19 and also the assistance provided by them to the local administration.

The OFB’s contribution in fighting Covid- 19 includes the repair of more than 100 ventilators, manufacture 12,800 coveralls, development of specialised machines for testing of personal protective equipment (PPE) kits and supply of 6.35 lakh masks to local authorities, the statement said.

The OFB has also earmarked 280 isolation beds at hospitals spread across 10 locations.

The statement said Bharat Electronics Ltd is ready to manufacture 12,000 ventilators in May and another 18,000 in June to support the national effort to tackle the disease. Around 3,000 engineers will help train health professionals in operationalising the ventilators, the ministry said.

The statement said Hindustan Aeronautics Ltd has manufactured and supplied 300 aerosol cabinets to various hospitals and also distributed 56,000 masks and extended support to migrant labourers. HAL has also earmarked 93 isolation beds in Bangalore for Covid-19 patients.","Rajnath Singh asks OFB, DPSUs to ramp up production post-lockdown",https://www.hindustantimes.com/india-news/rajnath-singh-asks-ofb-dpsus-to-ramp-up-production-post-lockdown/story-1kiXCcNRQnmf5LWX2sDIDK.html
"['congress', 'surjewala', 'crore', 'modi', 'cong', 'debts', 'centre', 'asks', 'slams', '50', 'written', 'defaulters', 'worth', 'loans', 'rs', 'bad', 'waive']","“Waiving off bad loans of huge amounts for willful defaulters has become the mantra of the BJP.
On April 24, these bad loans were written off.
When the entire country is fighting the coronavirus pandemic and at least 14 crore people have lost their livelihood, how can the government possibly waive Rs 68,607 crore in bad loans?” Surjewala questioned.
In the list of 50 defaulters, absconding diamantaire Mehul Choksi and Nirav Modi are on top.
“Can the Modi government afford to waive such bad debts and if it manages to do so, the government needs to inform citizens how that is possible,” Surjewala said.","india

Updated: Apr 28, 2020 16:24 IST

The Congress on Tuesday lashed out at the Bharatiya Janata Party-led government at the Centre after a RTI query a couple of days ago revealed that the Reserve Bank of India (RBI) had written off a staggering amount of Rs 68,607 crore due from 50 defaulters, including absconding jeweller Nirav Modi and his partner Mehul Choksi.

Senior Congress leader Randeep Singh Surjewala who was interacting with the media via a video conference cited the RTI query and demanded to know how the government had the money to waive bad loans when the entire country was facing financial instability due to the Covid-19 pandemic.

“Waiving off bad loans of huge amounts for willful defaulters has become the mantra of the BJP. On March 16, 2020, Congress leader Rahul Gandhi had demanded to know the names of 50 loan defaulters from the Union government on the floor of the house. The government had refused to divulge those names. On April 24, these bad loans were written off. When the entire country is fighting the coronavirus pandemic and at least 14 crore people have lost their livelihood, how can the government possibly waive Rs 68,607 crore in bad loans?” Surjewala questioned.

“The Modi government has been unmasked and the fact that it is working towards writing off such bad debts shows that the government is hand in glove with the defaulters. In the list of 50 defaulters, absconding diamantaire Mehul Choksi and Nirav Modi are on top. We demand answers,” the Congress leader said.

“Can the Modi government afford to waive such bad debts and if it manages to do so, the government needs to inform citizens how that is possible,” Surjewala said.

Simultaneously, Surjewala reiterated the Congress party’s pledge to fight the Covid-19 health crisis along with the government and provide every possible support that the Centre may need.

Indian banks have technically written off a staggering amount of Rs 68,607 crore due from 50 top defaulters, according to a reply under RTI from the Reserve Bank of India (RBI).","Cong slams Centre, asks how it can afford to waive bad debts worth Rs 68,607 crore",https://www.hindustantimes.com/india-news/cong-slams-centre-asks-how-it-can-afford-to-waive-bad-debts-worth-rs-68-607-crore/story-9bcqiCZx7vgMbnQw6cPRbK.html
"['card', 'states', 'consider', 'proof', 'sc', 'centre', 'asks', 'migrant', 'scheme', 'subsidised', 'nation', 'ration', 'lockdown', 'local', 'petitioner']","indiaUpdated: Apr 28, 2020 16:34 ISTThe Supreme Court on Monday asked the central government to examine the feasibility of implementing the ‘one nation one ration card’ scheme during the Covid-19 lockdown so as to alleviate the hardships faced by migrant labourers who have been stranded in other states due to the lockdown.
The ‘one nation one ration card’ scheme formulated by the central government is proposed to kick in from June 2020.
They have run out of food and with no local identity proof like ration card or voter card to avail government benefits like subsidised food grains, they are facing hunger.
ration card/residential proof/ voter card,” the petitioner claimed.
“Indian Government as well as State Governments have to adopt the scheme of ‘One Nation One Umbrella’ without any discrimination and to save human lives”, the plea said.","india

Updated: Apr 28, 2020 16:34 IST

The Supreme Court on Monday asked the central government to examine the feasibility of implementing the ‘one nation one ration card’ scheme during the Covid-19 lockdown so as to alleviate the hardships faced by migrant labourers who have been stranded in other states due to the lockdown.

A three-judge bench, headed by Justice NV Ramana, passed the order on a plea by one Reepak Kansal, who had highlighted the plight of migrant labourers because they did not have local identity proof.

“…we direct the Union of India to consider whether it is feasible for it to implement the said scheme at this stage or not and take an appropriate decision in this regard keeping in view the present circumstances,” the court said disposing of the plea.

The ‘one nation one ration card’ scheme formulated by the central government is proposed to kick in from June 2020.

The petitioner pointed out that many migrant workers who left their home state to work in other cities have been confined to their rented accommodation and are unable to return to their home states due to the lockdown.

They have run out of food and with no local identity proof like ration card or voter card to avail government benefits like subsidised food grains, they are facing hunger.

“States and Union Territories have been giving preferences to its respective citizens and voters and denying benefits of subsidised grains, shelter, medical facilities to said migrants laborers/ employees of other states due to absence of local identity proof i.e. ration card/residential proof/ voter card,” the petitioner claimed.

The petitioner, therefore, prayed that the ‘one nation one ration card’ scheme which is proposed to come into effect from June 2020 should be implemented during the Covid-19 pandemic so that migrant labourers are not denied subsidised food grains and other government benefits.

“Indian Government as well as State Governments have to adopt the scheme of ‘One Nation One Umbrella’ without any discrimination and to save human lives”, the plea said.","SC asks Centre to consider ‘one nation, one ration card’ during lockdown",https://www.hindustantimes.com/india-news/sc-asks-centre-to-consider-one-nation-one-ration-card-during-lockdown/story-9fCuLyZBID38UqdZQpMq0M.html
"['jibe', 'killed', 'incident', 'sadhus', 'adityanath', 'communal', 'uttar', 'palghar', 'killing', 'thackeray', 'bulandshahr', 'thackerays', 'yogi', 'phone', 'stinging', 'way']","indiaUpdated: Apr 28, 2020 16:59 ISTMaharashtra chief minister Uddhav Thackeray spoke to his Uttar Pradesh counterpart Yogi Adityanath over the killing of two sadhus in UP’s Bulandshahr and expressed concern over it.
“I spoke to Uttar Pradesh chief minister Yogi Adityanath ji over the phone and expressed concern over the heinous murder of two sadhus in UP’s Bulandshahr.
However, I appeal to you that the incident should not be given a communal colour,” Thackeray said.
Adityanath had spoken to Thackeray after two sadhus were lynched in Maharashtra’s Palghar district earlier this month.
The bodies of the two sadhus were found inside a temple in a village in Bulandshahr on Monday night.","india

Updated: Apr 28, 2020 16:59 IST

Maharashtra chief minister Uddhav Thackeray spoke to his Uttar Pradesh counterpart Yogi Adityanath over the killing of two sadhus in UP’s Bulandshahr and expressed concern over it. Thackeray called for strict punishment for the perpetrators of the “heinous” crime and said that the incident should not be given a communal colour.

“I spoke to Uttar Pradesh chief minister Yogi Adityanath ji over the phone and expressed concern over the heinous murder of two sadhus in UP’s Bulandshahr. I told him that we are with you. Just the way we acted strongly in such a case, I wish you would do the same and bring the accused to justice. However, I appeal to you that the incident should not be given a communal colour,” Thackeray said.

Adityanath had spoken to Thackeray after two sadhus were lynched in Maharashtra’s Palghar district earlier this month. The Maharashtra home department had subsequently booked over 100 people in connection with the case.

While the BJP leaders suggested that the killing was intentional, the state government dismissed any communal angle in the Palghar lynching incident.

Sena leader Sanjay Raut had earlier tweeted on the killings, warning against giving it a communal twist. “Terrible! Killing of two saints, sadhus at a temple in Bulandshahar, UP, but I appeal to all concerned to not make it communal the way they tried to make Palghar, Maharashtra incident,” Raut said.

The bodies of the two sadhus were found inside a temple in a village in Bulandshahr on Monday night. The police arrested Murari alias Raju in connection with the murder of Jagdish or Rangidas, 55, and his 46-year-old disciple Sher Singh. The man told the police that it was “God’s will”.

“The accused claimed during interrogation that it was the will of God meaning there was no personal enmity,” a senior government official said while speaking to reporters.

Officials said Raju allegedly had an altercation with the sadhus over stealing their ‘chimta’ or tong.","In Thackeray’s phone call after 2 sadhus killed, a stinging jibe at Adityanath",https://www.hindustantimes.com/india-news/bulandshahr-killing-uddhav-thackeray-speaks-to-yogi-adityanath-calls-for-strict-punishment/story-nxngqislG20K0iQM7NrRaJ.html
"['directs', 'nagaland', 'days', 'labs', 'covid19', 'bench', 'high', 'state', 'court', 'patients', 'lab', 'dimapur', 'treatment', 'testing', 'set']","indiaUpdated: Apr 28, 2020 15:46 ISTThe Kohima bench of the Gauhati High Court on Tuesday directed the Nagaland government to set up two Covid-19 testing labs within 10 days.
Acting on a PIL filed by V Suokhrie, a division bench of Justice Songkhupchung Serto and Justice S. Hukato Swu ordered the Nagaland government to “make at least two testing labs of Covid-19 functional within 10 days”.
Nagaland doesn’t have a single testing lab for Covid-19 and all its samples are sent to labs in Assam.
He has also been counted among the Covid-19 patients of Assam by the Union health and family welfare ministry.
The health department also received 10 new ambulances on Tuesday which will cater exclusively to Covid-19 patients and those in quarantine,” Phom said.","india

Updated: Apr 28, 2020 15:46 IST

The Kohima bench of the Gauhati High Court on Tuesday directed the Nagaland government to set up two Covid-19 testing labs within 10 days.

Acting on a PIL filed by V Suokhrie, a division bench of Justice Songkhupchung Serto and Justice S. Hukato Swu ordered the Nagaland government to “make at least two testing labs of Covid-19 functional within 10 days”.

The court also directed the government to “make every effort to establish other labs at strategic places in the state to facilitate free testing in the future”.

Follow coronavirus latest updates here.

Nagaland doesn’t have a single testing lab for Covid-19 and all its samples are sent to labs in Assam. Till Monday, 629 samples from the state had been tested.

The lone Covid-19 case from the state, a 33-year businessman from Dimapur is undergoing treatment at the Guwahati Medical College Hospital (GMCH). He has also been counted among the Covid-19 patients of Assam by the Union health and family welfare ministry.

“The PIL was filed seeking the court’s indulgence on certain gaps which the respondents might have overlooked while dealing with Covid-19 preparedness in Nagaland,” said Neiteo Koza, counsel for the petitioner.

Though an IAF aircraft landed in Dimapur on April 16 with equipment needed to set up bio-safety level 3 (BSL-3) lab in Nagaland to test samples of suspected Covid-19 patients, the facility has not yet started functioning.

In its order, the HC asked the state government to provide sufficient PPE kits to all persons involved in treatment of Covid-19 patients and looking after persons in quarantine centres.

Till Monday 31 people were in quarantine in the state and 1,090 people had been screened, Nagaland health minister S Pangnyu Phom said.

The bench also directed that the state government should increase the number of ICU facilities and ventilators, provide ambulances to Covid-19 patients at the earliest and ensure that there is no shortage of trained personnel.

“The state received another batch of equipment to set up a BSL-3 testing lab at Dimapur and some additional equipment for the BSL-2 lab in Kohima on Monday. The health department also received 10 new ambulances on Tuesday which will cater exclusively to Covid-19 patients and those in quarantine,” Phom said.

The bench asked the government to ensure that the two hospitals - one in Dimapur and one in Kohima – are dedicated for treatment of Covid-19 patients are fully equipped and functional within two weeks.",High Court directs Nagaland to set up Covid-19 testing labs in 10 days,https://www.hindustantimes.com/india-news/high-court-directs-nagaland-to-set-up-covid-19-testing-labs-in-10-days/story-3P3Da5SJ6T5tvaPe6qIxlO.html
